id,name
23,"Maulana Azad National Urdu University, Hyderabad"
70,"Maulana Mazharul Haque Arabic & Persian University, Patna"
465,"Meenakshri Academy of Higher Education and Research, Chennai"
345,"Mizoram University, Aizwal"
413,"Mohan Lal Sukhadia University, Uaipur"
466,"Mother Teresa Women's University, Kodaikanal"
318,"Mumbai University Mumbai"
235,"Mysore University, Mysore"
239,"NITTE Unversity, Mangalore"
347,"Nagaland University"
531,"Narendra Deo University of Agriculture & Technology, Faizabad"
319,"Narsee Monjee Institute of Management Studies, Mumbai"
110,"National Institute of Fashion Technology, Hauz Khas"
145,"Navsari Agricultural University"
208,"Nilamber-Pitamber University, Palamu"
146,"Nirma University, Ahmedabad"
579,"North Bengal University, Darjeeling"
341,"North Eastern Hill University, Shillong"
320,"North Maharashtra University, Jalgaon"
359,"North Orissa University, Mayurbhanj"
360,"Orissa University of Agriculture & Technology, Bhubaneswar"
27,"Osmania University, Hyderabad"
321,"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai"
28,"Palamuru University, Mahabubnagar"
147,"Pandit Deendayal Petroleum University, Gandhi Nagar"
78,"Panjab University,Chandigarh"
74,"Patna University, Patna"
470,"Periyar University, Salem"
369,"Pondicherry Univeristy, Puducherry"
471,"Ponnaiyah Ramajayam Institute of Science & Technology, Thanjavur"
29,"Potti Sri Ramulu Telugu University, Hyderabad"
322,"Pravara Institute of Medical Sciences, Ahmednagar"
174,"Pt. Bhagat Dyal University of Health Science, Rohtak"
93,"Pt. Ravishankar Shukla University, Raipur"
323,"Pune University, Pune"
382,"Punjab Technical University, Jalandhar"
383,"Punjabi University, Patiala"
647,"R K University, Rajkot"
632,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES"
581,"Rabindra Bharati University, Kolkata"
629,"Raja Mansingh Tomar Music & Arts University, Gwalior"
418,"Rajasthan Ayurveda University, Jodhpur"
419,"Rajasthan Technical University, Kota"
420,"Rajasthan University of Health Sciences, Jaipur"
421,"Rajasthan University of Veterinary and Animal Sciences, Bikaner"
422,"Rajasthan University, Jaipur"
75,"Rajendra Agricultural University, Samastipur"
287,"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal"
240,"Rajiv Gandhi University of Health Sciences, Bangalore"
47,"Rajiv Gandhi University, Itanagar"
288,"Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya, Gwalior"
582,"Ramakrishna Mission Vivekananda Educational and Research Institute, Howrah"
209,"Ranchi University, Ranchi"
602,"Rani Channamma University, Belagavi"
289,"Rani Durgavati Vishwavidyalaya, Jabalpur"
332,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur"
115,"Rashtriya Sanskrit Sansthan, New Delhi"
31,"Rayalaseema, University Kurnool"
669,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI"
329,"SYMBIOSIS International University, Pune"
536,"Sam Higginbottom Institute of Agriculture, Technology & Sciences, Allahabad"
362,"Sambalpur University, Sambalpur"
537,"Sampurnanand Sanskrit Vishwavidyalaya, Varanasi"
324,"Sant Gadge Baba Amravati University, Amravati"
148,"Sardar Patel University, Vallabh Vidyanagar"
150,"Sardarkrushinagar Dantiwada Agricultural University, Banaskantha"
95,"Sarguja University, Ambikapur"
32,"Satavahana University, Karimnagar"
151,"Saurashtra University, Rajkot"
475,"Saveetha University, Chennai"
476,"Shanmugha Arts, Science, Technology & Reserch Academy (SASTRA), Thanjavur"
363,"Shiksha 'O' Anusandhan"
325,"Shivaji University, Kolhapur"
265,"Shree Sankaracharya Univeristy of Sanskrit, Kalady"
152,"Shree Somnath Sanskrit University, Junagarh"
364,"Shri Jagannath Sanskrit Vishwavidyalaya, Puri"
201,"Shri Mata Vaishno Devi University, Jammu"
583,"Sidho-Kanho Birsa University"
210,"Sido Kanhu Murmu University, Dumka"
431,"Sikkim Manipal University, Gangtok"
430,"Sikkim University, Gangtok"
326,"Smt. Nathibai Damodar Thackersey Women's Univeristy, Mumbai"
327,"Solapur University, Solapur"
266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram"
370,"Sri Balajai Vidyapeeth Mahatma Gandhi Medical College, Puducherry"
241,"Sri Devraj Urs Acaedmy of Highehr Education and Research, Kolar"
33,"Sri Krishnadevaraya University, Anantapur"
478,"Sri Ramachandra Medical College and Research Institute, Chennai"
35,"Sri Satya Sai Institute of Higher Learning, Anantpur"
242,"Sri Siddharatha Acedemy of Higher Education"
36,"Sri Venkateswara Institute of Medical Sciences, Tirupathi"
37,"Sri Venkateswara University, Tirupathy"
39,"Sri Venkateswara Veterinary University, Tirupathi"
154,"Sumandeep Vidyappeth, Vadodara"
427,"Suresh Gyan Vihar Univeristy, Jaipur"
